id,display,course,topic,section,template,title,sub_heading,main_text,tip,dependencies,sub_text_1,sub_text_2,sub_text_3,c_1_name,c_2_name,c_3_name,c_type,boxes,c_1_type,c_2_type,c_3_type,c_1_file_name,c_2_file_name,c_3_file_name
1,1,OLI,Values,Level 1,video,Intro,,,Watch the video fully!,,"Values represent a big part of who you are. Values represent what is essential and most important to you. They are not universal morals, nor are they standards of good and evil. They are not things that come and go, or principles that you develop over time. Values represent that which, if honred fully, will bring immense fulfillment to your life. 
<br><br>
First you must discover your values. Then, you must honor them on a regular basis to be happy and fulfilled.",,,video,,,,,VideoComponent,,,xxx,,
2,1,OLI,Values,Level 1,video,Intro - Peak Experiences,,,Watch the video fully!,,Transcript coming soon! ,,,video,,,,,VideoComponent,,,1A_peak_experiences.mp4,,
3,1,OLI,Values,Level 1,questions_answers,Experience 1A,Peak Experience #1,"Think of a peak time in your life, a time of extreme pleasure or joy, learning or accomplishment, peace or power. It may have been a moment in time or a day, a week, a couple months, or a couple years. Describe this time in as much detail as possible, especially how you felt and why.","Describe where you were, who you were with, what you were doing",,#empty,,,question_answer,,,,,,,,,,
4,1,OLI,Values,Level 1,questions_answers,Experience 2A,Peak Experience #2,"Think of a second peak time in your life. Choose an experience that is different from your first peak experience. If your first experience was personal, think of a professional experience. Describe this time in as much detail as possible, especially how you felt and why.",Be as specific as possible and add as much detail as possible,,#empty,,,question_answer,,,,,,,,,,
5,1,OLI,Values,Level 1,questions_answers,Experience 3A,Peak Experience #3,"Think of a third peak time in your life that's different from the other two you've already described. If the other two were moments in time, then think of a longer period in your life that was a peak time in your life. Describe this time in as much detail as possible, including how you felt and why.",Tip 3,,#empty,,,question_answer,,,,,,,,,,
6,1,OLI,Values,Level 1,video,Intro - What Others Say,,,Watch the video fully!,,Transcript coming soon! ,,,video,,,,,VideoComponent,,,1B_what_others_say.mp4,,
7,1,OLI,Values,Level 1,questions_answers,Experience 4A,Peak Experience #4,"If I were to interview your family and/or closest friends, what would they say you value the most?",,,,,,question_answer,,,,,,,,,,
8,1,OLI,Values,Level 1,video,Intro - Who Inspires You,,,Watch the video fully!,,Transcript coming soon! ,,,video,,,,,VideoComponent,,,1C_who_inspires_you.mp4,,
9,1,OLI,Values,Level 1,questions_answers,Experience 5A,Peak Experience #5,"Think of two people that inspire you. Who are they? They may be people you know personally, people you've never met before or even people that are no longer living. What about them inspires you? These are likely your values.",,,,,,question_answer,,,,,,,,,,
10,1,OLI,Values,Level 1,video,Intro - What Angers You,,,Watch the video fully!,,Transcript coming soon! ,,,video,,,,,VideoComponent,,,1D_what_angers_you.mp4,,
